tweet_id,name,text,created_at,favourite_count,hashtags
1454100784447164422,CNN,"The home of ""The Real Housewives of Beverly Hills"" star Dorit Kemsley was robbed Wednesday night. https://t.co/slsWxxk9ip",2021-10-29 15:00:17+00:00,6,[]
1454096961313943557,CNN,"Rep. Adam Kinzinger, a Republican from Illinois who has been a strong critic of former President Donald Trump, announced in a video Friday morning he is not running for reelection. https://t.co/nAMabVHscI",2021-10-29 14:45:06+00:00,124,[]
1454094012588204044,CNN,"When President Joe Biden arrived at the Vatican on Friday to meet Pope Francis, he brought with him 10 of his closest advisers -- including his doctor. https://t.co/BlpdNk2qDL",2021-10-29 14:33:23+00:00,379,[]
1454091167273037829,CNN,"It's been nearly two weeks since jury selection began in the trial of the three men charged with killing Ahmaud Arbery, and of the thousand people summoned for jury duty, less than half have turned up. https://t.co/3evUVd3iHq",2021-10-29 14:22:04+00:00,101,[]
1454085702594056193,CNN,"This year, Lonely Planet highlighted its top 10 cities, regions and countries -- see the lists here https://t.co/qWRk0NHBwl",2021-10-29 14:00:21+00:00,106,[]
1454083856689139730,CNN,"President Joe Biden to Pope Francis: “You are the most significant warrior for peace I’ve ever met.”

POTUS met the pontiff at the Vatican, gifting him a military coin and cracking some jokes. https://t.co/uETNyZHCCs https://t.co/PKJRVwimwx",2021-10-29 13:53:01+00:00,1528,[]
1454083116461608961,CNN,"From the CNN 5 Things podcast, these are this morning’s top stories:
✔️ Biden and Pope Francis meet, discuss climate and immigration
✔️ Passenger punched American Airlines attendant during flight
✔️ Countries condemn Israel's West Bank housing plans

https://t.co/XglXgdOgQc",2021-10-29 13:50:05+00:00,65,[]
1454082362409639938,CNN,"Indian actor Puneeth Rajkumar has died aged 46 after suffering cardiac arrest on Friday, according to Vikram Hospital in Bangalore https://t.co/mbxFp1QHMQ",2021-10-29 13:47:05+00:00,130,[]
1454075834806030340,CNN,"Why Chinese influencers are flocking to a Costco in Shanghai (and no, it's not for the discounts) | Analysis by @Nectar_Gan &amp; @steve0george https://t.co/umWfsxCKKE https://t.co/lhho5Dw9pF",2021-10-29 13:21:09+00:00,104,[]
1454074317407465473,CNN,"Princess Diana faced unfair and untrue accusations about her mental health due to her eating disorder. See how she stood up for herself in a new episode of the CNN Original Series #DianaCNN, Sunday at 9 p.m. ET/PT https://t.co/RYIVwe337K",2021-10-29 13:15:07+00:00,267,"[{'text': 'DianaCNN', 'indices': [180, 189]}]"
